                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.67319,                 0.9003,                0.49648,                0.96037,                0.80469,                0.74561,                0.73289,                0.52169,                0.78679,                0.70177,                0.68363,                0.42765,                0.66258,                0.92135,                0.45629,                0.87967,              0.0092872,              0.0092872,              0.0092872
                     38,                0.68624,                0.89511,                0.49924,                0.95021,                0.79162,                0.75088,                0.72248,                 0.4973,                 0.7413,                0.70752,                0.67222,                0.41116,                0.69932,                0.91727,                 0.4874,                0.90178,              0.0092674,              0.0092674,              0.0092674
                     39,                0.67875,                0.90351,                0.49792,                0.95351,                  0.757,                0.76043,                0.70788,                0.50129,                0.70893,                0.72063,                0.65769,                0.41002,                0.66335,                0.91531,                0.47844,                0.88149,              0.0092476,              0.0092476,              0.0092476
                     40,                0.68146,                0.93279,                0.49884,                 0.9571,                0.78619,                0.72938,                0.73032,                0.50603,                0.72126,                0.67733,                0.67141,                0.42572,                0.69325,                0.96552,                0.47568,                0.88626,              0.0092278,              0.0092278,              0.0092278
                     41,                0.67132,                 0.8936,                0.49314,                0.95614,                0.67943,                0.70625,                0.70618,                0.49624,                0.65521,                0.67826,                0.67208,                0.41088,                0.69393,                0.96292,                0.56671,                0.89382,               0.009208,               0.009208,               0.009208
                     42,                0.67072,                0.88829,                0.48637,                0.95599,                0.80344,                0.73223,                0.72524,                0.49454,                0.73756,                0.69251,                0.67517,                0.41187,                0.70623,                0.99942,                0.48408,                0.89093,              0.0091882,              0.0091882,              0.0091882
                     43,                0.67193,                0.89106,                0.48523,                0.95516,                0.83595,                0.76264,                0.75034,                0.53508,                0.80113,                0.72091,                0.71374,                 0.4451,                0.68442,                0.91269,                0.45439,                0.89403,              0.0091684,              0.0091684,              0.0091684
                     44,                0.66817,                 0.9054,                0.48775,                0.95468,                0.81153,                0.72926,                0.73202,                0.52051,                0.78864,                0.67699,                0.68454,                0.43363,                0.66369,                0.92428,                0.47917,                0.89174,              0.0091486,              0.0091486,              0.0091486
                     45,                0.66456,                 0.8744,                0.48113,                0.94694,                0.83593,                0.74595,                0.74456,                 0.5366,                0.80003,                0.69795,                0.69773,                0.44957,                0.67462,                0.90489,                0.44478,                0.88858,              0.0091288,              0.0091288,              0.0091288
                     46,                0.64911,                0.84238,                0.46923,                0.95404,                0.78839,                0.73943,                 0.7287,                0.50754,                0.74716,                0.70705,                0.68925,                0.41934,                0.66778,                0.91387,                0.48995,                0.88503,               0.009109,               0.009109,               0.009109
                     47,                 0.6526,                0.86055,                0.47297,                0.94594,                0.81811,                0.73569,                0.72699,                0.51672,                0.78243,                0.71129,                0.69416,                0.45356,                0.67332,                0.87423,                0.46374,                0.89544,              0.0090892,              0.0090892,              0.0090892
                     48,                0.65137,                0.88127,                0.47192,                0.94612,                0.77044,                0.75514,                0.72441,                0.51849,                0.74508,                0.69983,                0.69069,                0.45527,                0.67972,                0.90123,                0.46362,                 0.8911,              0.0090694,              0.0090694,              0.0090694
                     49,                0.66926,                0.92267,                0.47513,                0.95845,                0.80643,                0.73533,                0.70808,                0.51662,                0.78673,                0.72079,                0.68133,                0.45173,                0.66842,                0.91102,                0.47384,                0.88794,              0.0090496,              0.0090496,              0.0090496
                     50,                0.65388,                0.88096,                0.46872,                0.95118,                0.81246,                0.73327,                0.74499,                0.53875,                0.81619,                0.70066,                 0.7157,                0.45586,                0.66671,                 0.9005,                0.45016,                0.89012,              0.0090298,              0.0090298,              0.0090298
                     51,                0.64647,                0.87009,                0.46389,                0.95097,                 0.8132,                0.74811,                 0.7306,                0.51109,                0.76504,                0.70452,                 0.6927,                0.42639,                0.69118,                0.95058,                0.46716,                0.89567,                0.00901,                0.00901,                0.00901
                     52,                0.65167,                0.87195,                0.46946,                0.94482,                 0.7579,                 0.7564,                0.72783,                0.50698,                0.72906,                0.72392,                0.69136,                0.42392,                0.65592,                0.94292,                0.46125,                 0.8776,              0.0089902,              0.0089902,              0.0089902
                     53,                0.65121,                0.89359,                0.47174,                0.94557,                0.81617,                0.74507,                0.74707,                0.53233,                 0.7746,                0.71007,                0.70787,                0.43364,                 0.6576,                0.90824,                0.45523,                0.87851,              0.0089704,              0.0089704,              0.0089704
                     54,                0.64212,                0.84917,                0.46241,                0.94704,                0.81324,                0.70772,                0.73587,                0.52655,                 0.8023,                0.70043,                0.70798,                0.45196,                0.65307,                0.92444,                0.43204,                0.88188,              0.0089506,              0.0089506,              0.0089506
                     55,                0.64062,                0.84558,                0.45725,                0.93862,                0.79999,                0.72804,                0.71723,                0.50575,                0.75169,                0.68162,                0.65849,                0.42101,                0.64289,                0.90273,                0.47191,                0.87679,              0.0089308,              0.0089308,              0.0089308
