                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 0.6993,                0.89597,                0.50139,                0.90102,                0.83052,                0.73304,                0.75952,                 0.5264,                0.80805,                 0.7133,                  0.731,                0.45175,                0.69789,                0.89867,                0.45578,                0.88642,              0.0093466,              0.0093466,              0.0093466
                     35,                0.70015,                0.89387,                0.48764,                0.90444,                0.83134,                0.74192,                0.74027,                0.52087,                0.77554,                 0.7062,                0.69764,                0.44738,                0.68352,                0.90235,                0.45725,                0.88556,              0.0093268,              0.0093268,              0.0093268
                     36,                0.69271,                0.89535,                0.48656,                0.90762,                0.79659,                0.76874,                0.74901,                0.52635,                0.75146,                0.73609,                0.71092,                 0.4422,                0.67443,                0.94727,                0.45117,                0.87423,               0.009307,               0.009307,               0.009307
                     37,                0.69341,                 0.8851,                0.48962,                0.90057,                0.82284,                0.71218,                0.72616,                0.50878,                0.77135,                0.67892,                0.68158,                0.41912,                0.71479,                0.94615,                0.45793,                0.89436,              0.0092872,              0.0092872,              0.0092872
                     38,                0.68818,                0.88589,                0.48498,                0.90265,                0.80771,                0.72415,                0.72891,                 0.5042,                0.74073,                0.67144,                0.67459,                0.42988,                 0.7092,                0.95252,                0.46582,                0.88457,              0.0092674,              0.0092674,              0.0092674
                     39,                0.68725,                0.89291,                0.47479,                0.89876,                0.80414,                0.73909,                0.74539,                 0.5254,                0.84297,                0.70459,                 0.7319,                0.46403,                 0.6774,                0.89444,                0.44447,                0.88965,              0.0092476,              0.0092476,              0.0092476
                     40,                 0.6929,                0.89726,                0.47661,                0.90369,                0.83713,                0.75983,                0.75591,                0.52609,                 0.7703,                0.70389,                0.67335,                0.43308,                0.69542,                0.88874,                 0.4361,                  0.891,              0.0092278,              0.0092278,              0.0092278
                     41,                0.69421,                 0.8929,                0.48404,                0.90456,                0.81517,                0.71771,                0.75601,                0.53592,                 0.7699,                0.69955,                0.72805,                0.45951,                0.68075,                0.93912,                0.46489,                0.88882,               0.009208,               0.009208,               0.009208
                     42,                0.68452,                0.87945,                0.46508,                0.89809,                0.83433,                0.72411,                0.74549,                0.52787,                 0.7859,                0.68922,                0.71114,                 0.4444,                0.69014,                0.92784,                0.45239,                0.88665,              0.0091882,              0.0091882,              0.0091882
                     43,                0.69497,                0.88642,                0.46886,                0.90453,                0.82744,                 0.7298,                0.74286,                 0.5193,                0.78825,                0.69789,                0.71061,                0.43265,                 0.6939,                0.93732,                0.46904,                0.88283,              0.0091684,              0.0091684,              0.0091684
